education,balance,day,month,pdays,previous,y,unemployed,unknown_employment,single,Default,Housing,Loan,Called,days_since_contacted,months_last_contacted,box_cox_duration,Contact_campaign,Previous_outcome_1,Previous_outcome_2,Age
3,1,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.043183226,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.727692374,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,2.377730992,1,0,1,1
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.682890577,1,0,1,1
3,0,5,5,0,0,0,0,0,1,0,1,1,1,26,7,2.932864149,1,0,1,1
3,0,5,5,0,0,0,0,0,1,1,1,0,1,26,7,3.280625976,1,0,1,0
1,0,5,5,0,0,0,1,0,0,0,1,0,1,26,7,2.186724148,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.228807384,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.94625678,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.675125206,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.488977017,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.806143329,1,0,1,0
1,0,5,5,0,0,0,1,0,0,0,1,0,1,26,7,3.232622125,1,0,1,0
1,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.069935054,1,0,1,0
1,0,5,5,0,0,0,1,0,0,0,1,0,1,26,7,2.938250529,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.220643035,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,3.045511602,1,0,1,1
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.773120681,1,0,1,0
1,0,5,5,0,0,0,0,0,1,0,1,1,1,26,7,2.759459323,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.212219552,1,0,1,1
1,0,5,5,0,0,0,1,0,0,0,1,1,1,26,7,2.828366697,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.799662559,1,0,1,0
3,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.120745423,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,2.634879413,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.029061117,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,1,1,26,7,3.223412226,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,0,1,1,26,7,2.954176939,1,0,1,0
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.967191438,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,2.908122302,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.956798218,1,0,1,0
3,1,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.200868669,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.99752679,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.254307394,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,0,0,1,26,7,4.408948231,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.566441976,1,0,1,1
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.675125206,1,0,1,1
2,1,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.759459323,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.8252345,1,0,1,0
2,0,5,5,0,0,0,1,0,0,0,1,0,1,26,7,4.312744844,1,0,1,0
1,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.99752679,1,0,1,1
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.23627688,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.954176939,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,0,0,1,26,7,2.759459323,1,0,1,0
3,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.250733187,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.054754599,1,0,1,0
3,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.024294671,1,0,1,0
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.822088352,1,0,1,1
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.794852904,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,1,1,26,7,2.705662363,1,0,1,1
3,0,5,5,0,0,0,0,0,1,0,0,1,1,26,7,2.806143329,1,0,1,1
3,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.531667508,1,0,1,1
1,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,4.466695543,1,0,1,0
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.679019145,1,0,1,1
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.81866188,1,0,1,0
1,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.773120681,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.299402898,1,0,1,1
3,1,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.464950932,1,0,1,0
3,0,5,5,0,0,0,1,0,0,0,0,0,1,26,7,3.503698962,1,0,1,0
3,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,3.07066564,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.75252592,1,0,1,0
2,1,5,5,0,0,0,0,0,1,0,1,1,1,26,7,2.815753634,1,0,1,1
2,1,5,5,0,0,0,0,0,0,0,1,1,1,26,7,3.036155014,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,2.799662559,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,2.738445765,1,0,1,0
1,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.110130396,1,0,1,0
2,1,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.828366697,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.812564777,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,0,1,1,26,7,2.916463134,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,0,0,1,26,7,3.225262636,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,1,1,26,7,3.068412765,1,0,1,0
2,0,5,5,0,0,0,0,0,1,1,1,0,1,26,7,2.908122302,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,2.864913156,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,0,0,1,26,7,2.919222328,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,0,1,26,7,1.820564203,1,0,1,0
2,1,5,5,0,0,1,0,0,0,0,1,0,1,26,7,4.013964653,1,0,1,0
3,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,3.007371096,1,0,1,0
1,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.505025117,1,0,1,0
2,0,5,5,0,0,1,0,0,0,0,0,0,1,26,7,4.298194091,1,0,1,0
2,0,5,5,0,0,1,0,0,0,0,1,0,1,26,7,4.251483023,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,1,1,1,26,7,2.849912786,1,0,1,0
2,0,5,5,0,0,0,1,0,0,0,1,0,1,26,7,2.8252345,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,0,0,1,26,7,2.168943542,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,2.92197113,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.573828525,1,0,1,0
2,0,5,5,0,0,0,0,0,1,0,0,0,1,26,7,2.802910436,1,0,1,0
3,0,5,5,0,0,0,0,0,0,0,1,1,1,26,7,3.356463431,1,0,1,1
2,0,5,5,0,0,0,0,0,0,0,0,0,1,26,7,3.101532807,1,0,1,0
3,0,5,5,0,0,0,1,0,0,0,1,0,1,26,7,2.516890229,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.894004537,1,0,1,0
3,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,2.876691203,1,0,1,0
2,0,5,5,0,0,0,0,0,0,0,1,0,1,26,7,3.033797748,1,0,1,0
